축제명,축제시작일자,축제종료일자,축제내용,주최기관명,전화번호,홈페이지주소,소재지도로명주소,데이터기준일자,제공기관명
고창모양성제,2023-10-19,2023-10-23,거리퍼레이드+답성놀이+강강술래 등,관광산업과,063-560-2949,http://www.gochang.go.kr/tour/,전라북도 고창군 고창읍 중앙로 292,2023-07-11,전라북도 고창군
안산국제거리극축제,2018-05-05,2018-05-07,순수예술축제,경기도 안산시청,031-481-0531,https://www.ansanart.com/index.do,경기도 안산시 단원구 광덕대로 157,2024-04-17,경기도 안산시
여르미오페스티벌,2018-08-04,2018-08-04,대중예술축제,안산문화재단,031-481-4030,https://www.ansanart.com//lay2/S1T54C56/contents.do,경기도 안산시 단원구 화랑로 312,2024-04-17,경기도 안산시
제6회 상록수문화제,2018-09-15,2018-09-15,기념음악회+체험박람회+작품발표회+거리퍼레이드 등,경기도 안산시청,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,2024-04-17,경기도 안산시
안산국제거리극축제,2019-05-04,2019-05-06,순수예술축제,경기도 안산시청,031-481-0531,https://www.ansanart.com/index.do,경기도 안산시 단원구 광덕대로 157,2024-04-17,경기도 안산시
제7회 상록수문화제,2019-10-26,2019-10-26,공연+전시+체험 등,경기도 안산시청,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,2024-04-17,경기도 안산시
안산국제거리극축제,2021-10-05,2021-10-10,순수예술축제,경기도 안산시청,031-481-0531,https://www.ansanart.com/index.do,경기도 안산시 단원구 화랑로 312(고잔동),2024-04-17,경기도 안산시
여르미오페스티벌,2019-08-10,2019-08-10,대중예술축제,안산문화재단,031-481-4030,https://www.ansanart.com/index.do,경기도 안산시 단원구 화랑로 312,2024-04-17,경기도 안산시
팔봉산 감자축제,2022-06-25,2022-06-26,감자캐기 체험+판매,팔봉산감자축제추진위원회,041-660-3937,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 팔봉면 팔봉산로 100,2022-11-05,충청남도 서산시
(코로나로 일정 미정)서산6쪽마늘축제,2021-06-24,2021-07-21,6쪽마늘 판매+공연+체험,서산6쪽마늘축제추진위원회,041-660-3937,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 해미면 남문2로 143,2022-11-05,충청남도 서산시
삼길포우럭축제,2022-07-29,2022-07-31,우럭체험 및 전시+판매,삼길포축제추진위원회,041-660-2069,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 대산읍 삼길포1로 65,2022-11-05,충청남도 서산시
서산해미읍성축제,2022-10-07,2022-10-09,전통문화 공연 및 체험 등,(재)서산문화재단(서산해미읍성축제추진위원회),041-660-2228,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 해미면 남문2로 143,2022-11-05,충청남도 서산시
한강 낙동강 발원지 축제,2023-07-28,2023-08-06,물놀이난장+공연+체험행사+부스 운영 등,태백시문화재단,033-553-6900,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
삼수 매봉산 바람개비 축제,2023-08-04,2023-08-06,공연+체험프로그램+부스운영 등,삼수동축제위원회,033-552-1376,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
장성 탄탄마을 축제,2023-09-09,2023-09-10,공연+체험프로그램+부스운영 등,징성동주민자치위원회,033-581-6903,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
태백 황지연못 황부자며느리 축제,2023-09-23,2023-09-25,마당극+걷기행사+가요제+야시장,황부자며느리축제위원회,033-552-1370,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
철암 단풍축제,2023-10-13,2023-10-15,단풍길걷기대회+전시회+먹거리장터 등,철암단풍축제위원회,033-582-7906,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
태백산 눈축제,2023-01-27,2023-01-31,눈조각대회+눈꽃등반대회+체험행사+공연 등,태백시문화재단,033-553-6900,http://tbcf.or.kr/,강원특별자치도 태백시 장성1길 171,2023-12-07,강원특별자치도 태백시
제18회 대구국제뮤지컬페스티벌,2024-06-21,2024-07-08,"국내외 20작품 뮤지컬 공연, 딤프린지, 스타데이트 등",대구광역시 문화콘텐츠과,053-622-1945,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),2024-02-29,대구광역시
대구치맥페스티벌,2024-07-01,2024-07-31,"치킨 및 맥주업체 등 홍보, 전시, 판매, 테마별 프로그램 운영 등",(사)한국치맥산업협회,053-248-9989,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),2024-02-29,대구광역시
제21회 대구국제오페라축제,2024-10-04,2024-11-08,"메인오페라, 콘서트시리즈, 오페라어워즈 등",대구광역시 문화콘텐츠과,053-666-6000,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),2024-02-29,대구광역시
대구콘텐츠페어,2024-10-11,2024-10-12,"콘텐츠 전시, 컨퍼런스, 부대행사 등",대구광역시 문화콘텐츠과,053-601-5831,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),2024-02-29,대구광역시
팔공산 산중전통장터 승시 축제,2024-10-01,2024-10-30,"승시재현마당, 개막식, 문화공연, 경연대회, 전시 및 체험 등",대한불교조계종,053-980-7956,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),2024-02-29,대구광역시
대구포크페스티벌,2024-10-01,2024-10-30,포크송 공연 등,대구포크페스티벌 조직위원회,053-626-2015,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),2024-02-29,대구광역시
월드오케스트라페스티벌,2024-10-01,2024-11-30,오케스트라 공연 등,대구문화예술진흥원,053-430-1200,http://www.daegu.go.kr/,대구광역시 중구 공평로 88(동인동1가),2024-02-29,대구광역시
제35회 동성로축제,2024-05-10,2024-05-12,"동성로가요제, K-POP 댄스대회, 뮤지컬 갈라콘서트",(사)달성문화선양회,053-423-3337,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),2024-02-29,대구광역시
대구 문화유산 야행,2024-08-30,2024-08-31,"야간 문화유산 탐방, 해설 등",(공모예정),053-661-2623,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),2024-02-29,대구광역시
제11회 대구스트리트모터페스티벌,2024-09-01,2024-09-30,차량전시 및 부대행사,남산동자동차골목상점가상인회,053-661-3014,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),2024-02-29,대구광역시
제19회 패션주얼리위크,2024-09-01,2024-09-30,"주얼리패션쇼, 주얼리경매, 주얼리모델대회, 주얼리체험 등",대구패션주얼리특구상인회,053-424-9150,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),2024-02-29,대구광역시
서문시장글로벌대축제,2024-10-01,2024-10-30,"보부상퍼레이드, 상인가요제, 서문가요제 등",대구광역시 중구,053-256-6341,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),2024-02-29,대구광역시
교동시장한마음축제,2024-10-01,2024-10-30,"축하공연, 교동보물찾기, 상인 노래자랑 등",대구광역시 중구,053-427-0443,http://www.jung.daegu.kr/,대구광역시 중구 국채보상로139길 1(동인동2가),2024-02-29,대구광역시
2022 마임아카데미 몸짓워크숍,2022-07-04,2022-07-28,아티스트에게 다양한 몸짓을 배우고 무대에서 공연까지 해보는 참여형 프로그램,춘천마임축제,033-244-7556,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=2022+EBA788EC9E84EC9584ECB9B4EB8DB0EBAFB8+5BEBAAB8ECA793EC9B8CED81ACEC888D5D,강원도 춘천시 후석로186번길 22 지하 1층,2023-01-12,강원도 춘천시
완주와일드앤로컬푸드축제,2023-10-06,2023-10-08,○ 자연친화+야생체험,전라북도 완주군청,063-290-3977+,http://www.wanjufestival.kr/,전라북도 완주군 고산면 고산자연휴양림로 246,2023-08-17,전라북도 완주군
겨울왕국제천 페스티벌,2023-12-01,2023-12-01,전시연출+대형얼음성+얼음조각체험+얼음터널,충청북도 제천시청,043-645-4998,,충청북도 제천시 의림대로47길 7,2023-12-01,충청북도
속리산 신화여행축제,2023-06-09,2023-06-11,축하공연+민속예술경연대회+천왕봉산신제+영신행차+속리산산채비빔밥체험+탑돌이재연+가족뮤지컬+치맥파티,충청북도 보은군청,043-540-3372,,충청북도 보은군 속리산면 법주사로 293,2023-12-01,충청북도
보은대추축제,2023-10-13,2023-10-22,농특산물 판매+축하공연+이벤트,충청북도 보은군청,043-540-3392,,충청북도 보은군 보은읍 뱃들로 54,2023-12-01,충청북도
제36회 지용제,2023-09-07,2023-09-10,초청공연+동요제+작가와의만남+노래자랑+향토음식경연대회+국제문화포럼+제25회정지용문학상시상식+제22회전국정지용백일장,충청북도 옥천군청+옥천문화원,043-733-5588,,충청북도 옥천군 옥천읍 향수길 56,2023-12-01,충청북도
영동곶감축제,2023-01-06,2023-01-08,개막식+지역문화공연+영동곶감한마음콘서트+신년음악회+농가노래자랑대회+어린이마술쇼,충청북도 영동군청,043-745-8912,,충청북도 영동군 영동황간로 122,2023-12-01,충청북도
영동포도축제,2023-08-24,2023-08-27,포도따기 등 어린이 체험+개막식+농특산물판매장+우수과일종합전시+먹거리존,충청북도 영동군청,043-745-8918,,충청북도 영동군 영동읍 영동힐링로 117,2023-12-01,충청북도
제54회 영동난계국악축제,2023-10-12,2023-10-15,난계국악단공연+종묘제례악+왕가의산책퍼포먼스+국악기제작 및 연주체험+전국난계국악경연대회+전국 정가 경창대회+천고타북식+숭모제+학술제,충청북도 영동군청,043-745-8917,,충청북도 영동군 영동읍 영동힐링로 117,2023-12-01,충청북도
제12회 대한민국와인축제,2023-10-12,2023-10-15,와인 시음 및 판매+와인 족욕 등,충청북도 영동군청,043-745-8920,,충청북도 영동군 영동읍 영동힐링로 117,2023-12-01,충청북도
증평들노래축제,2023-06-10,2023-06-11,두레농요시연+줄타기 공연+전통문화공연+전국사진촬영대회+농경체험+전통음식체험+두레민복체험+오감체험+감자캐기+물고기잡기,장뜰두레농요보존회,043-835-4153,,충청북도 증평군 증평읍 둔덕길 89,2023-12-01,충청북도
증평인삼골축제,2023-10-12,2023-10-15,주민화합행사+풍물경연대회+체험행사+농산물직거래장터+인삼판매,증평문화원,043-836-3400,,충청북도 증평군 증평읍 인삼로 23,2023-12-01,충청북도
제23회 생거진천 농다리축제,2023-05-26,2023-05-28,농산물판매+체험부스+페이스페인팅+추억의 먹거리+공예마을+사생대회+백일장,진천문화원,043-533-2742,,충청북도 진천군 문백면 농다리로 1032-11,2023-12-01,충청북도
괴산고추축제,2023-08-31,2023-09-03,개막식+키자니아 괴산+찾아가는 안전체험 마당+황금고추를찾아라+고추난타+고추물고기를잡아라+핫치맥페스티벌+농산물판매장,충청북도 괴산군청,043-830-3463,,충청북도 괴산군 괴산읍 임꺽정로 92,2023-12-01,충청북도
제24회 음성품바축제,2023-05-17,2023-05-21,품바왕선발대회+오늘의품바+품바뮤지컬+음성예술단공연+천인의엿치기+품바래퍼경연대회+품바가요제,음성예총+음성군축제추진위원회,043-873-2241,,충청북도 음성군 음성읍 설성공원길 28,2023-12-01,충청북도
2023 음성명작페스티벌,2023-09-21,2023-09-24,평생학습 대축제+명작 운동회+드론쇼+평생학습체험거리+명작장터,충청북도 음성군청+음성군축제추진위원회,043-873-0107,,충청북도 음성군 금왕읍 탑골7길 2,2023-12-01,충청북도
제42회 설성문화제,2023-10-12,2023-10-15,염계달 연계 판소리 공연+무형문화재 공연+전국가수왕선발대회+사진전+출향인 고향의 밤+북한 음식 체험+북토크콘서트,충청북도 음성군청,043-872-4084,,충청북도 음성군 음성읍 설성공원길 28,2023-12-01,충청북도
제38회 소백산철쭉제,2023-05-31,2023-06-04,전국노래자랑+봄힐링콘서트+전국실버가요제+EDM페스티벌,소백산철쭉제추진위원회,043-420-2551,,충청북도 단양군 단양읍 수변로 111,2023-12-01,충청북도
2023 영동포도축제,2023-08-24,2023-08-27,포도판매장+포도밟기+공연 등,충청북도 영동군,043-745-8916,,충청북도 영동군 영동읍 동정로 1,2023-12-07,충청북도 영동군
2023 영동곶감축제,2023-01-06,2023-01-08,"곶감판매장터, 체험프로그램 등",충청북도 영동군,043-745-8916,,충청북도 영동군 영동읍 동정로 1,2023-12-07,충청북도 영동군
진해군항제,2023-03-25,2023-04-03,추모대제+승전행사+불꽃쇼+문화예술행사,경상남도 창원시,,,경상남도 창원시 진해구 진해대로 649,2023-12-06,경상남도 창원시
진해군악의장페스티벌,2023-03-31,2023-04-02,개막행사+주공연장 마칭공연+프린지공연,경상남도 창원시,,,경상남도 창원시 진해구 충무로 43(도만동),2023-12-06,경상남도 창원시
마산국화축제,2023-10-28,2023-11-06,국화작품전시+공연,경상남도 창원시,,,경상남도 창원시 마산합포구 해안대로 180,2023-12-06,경상남도 창원시
장수 한우랑 사과랑 축제,2022-10-27,2022-10-30,대표프로그램 등 7개분야 70여개 프로그램,전라북도 장수군,063-350-2356,http://www.jangsufestival.com,전라북도 장수군 장수읍 한누리로 393,2022-11-24,전라북도 장수군
도봉서원 춘·추향제,2015-04-28,2015-10-22,"분향례, 전폐례, 초헌례, 아헌례, 종헌례, 음복례 등 제례, 추모음악회","서울특별시 도봉구청,(사)도봉서원",02-905-4026,,서울특별시 도봉구 도봉산길 90,2018-05-01,서울특별시 도봉구
도봉산 산사축제,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,02-905-4026,,서울특별시 도봉구,2018-05-01,서울특별시 도봉구
도봉구민 건강축제,2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,02-2091-4422,,서울특별시 도봉구 마들로 656,2018-05-01,서울특별시 도봉구
2024 예천활축제,2024-05-03,2024-05-06,각종 공연 및 체험프로그램 등,경상북도 예천군,054-650-6031,yctf.kr,,2024-03-08,경상북도 예천군
2024 곤충 & 서머쿨 페스티벌,2024-08-15,2024-08-18,각종 공연 및 체험프로그램 등,경상북도 예천군,054-650-6031,yctf.kr,,2024-03-08,경상북도 예천군
2024 삼강주막나루터축제,2024-09-15,2024-09-17,각종 공연 및 체험프로그램 등,경상북도 예천군,054-650-6031,yctf.kr,경상북도 예천군 풍양면 삼강리길 33,2024-03-08,경상북도 예천군
2024 문화유산야행,2024-10-03,2024-10-06,각종 공연 및 체험프로그램 등,경상북도 예천군,054-650-6031,yctf.kr,경상북도 예천군 용문면 금당실길 52-16,2024-03-08,경상북도 예천군
양양문화제,2024-06-20,2024-06-22,2024년 양양문화제,양양문화제위원회,033-670-2795,https://tour.yangyang.go.kr,,2024-03-12,강원특별자치도 양양군
양양 송이&연어축제,2024-10-01,2024-10-30,"송이 및 연어 홍보부스, 부대행사",양양문화재단,033-671-3803,https://tour.yangyang.go.kr,,2024-03-12,강원특별자치도 양양군
제천국제음악영화제,2024-09-05,2024-09-10,음악영화제,제천국제음악영화제집행위원회,043-646-2242,http://www.jimff.org,충청북도 제천시 의림대로12길 14-1,2024-03-12,충청북도 제천시
제천의병제,2024-10-17,2024-10-18,의병제,제천문화원,043-642-3646,http://www.jecheoncc.or.kr,충청북도 제천시 의림대로 125,2024-03-12,충청북도 제천시
사하예술제,2024-10-19,2024-10-20,전시+공연+체험프로그램+연계 행사 등,부산광역시 사하구청,051-220-4062,https://www.saha.go.kr/tour/contents.do?mId=0202020000,부산광역시 사하구 낙동남로1233번길 25,2024-03-11,부산광역시 사하구
광양매화축제,2024-03-08,2024-03-17,공연+경연+체험+전시+판매+부대행사,전라남도 광양시청,061-797-2721,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 시청로 33,2024-03-06,전라남도 광양시
광양천년동백축제,2024-03-23,2024-03-24,공연+경연+체험+전시+판매+부대행사,전라남도 광양시청,061-797-2603,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 옥룡면 신재로 624,2024-03-06,전라남도 광양시
백운산국사봉철쭉제,2024-04-29,2024-04-30,공연+경연+체험+전시+판매+부대행사,전라남도 광양시청,061-797-4233,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 옥곡면 옥진로 665-1,2024-03-06,전라남도 광양시
광양전어축제,2024-08-01,2024-08-01,공연+경연+체험+전시+판매+부대행사,전라남도 광양시청,061-797-3679,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 진월면 망덕길 265,2024-03-06,전라남도 광양시
광양숯불구이축제,2024-10-01,2024-10-01,공연+경연+체험+전시+판매+부대행사,전라남도 광양시청,061-797-4903,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 광양읍 남등길 6,2024-03-06,전라남도 광양시
광양k-pop 슈퍼 페스티벌,2024-10-01,2024-10-01,공연+체험+부대행사,전라남도 광양시청,061-797-3714,http://www.gwangyang.go.kr/tour_culture,전라남도 광양시 광양읍 매천로 695-20,2024-03-06,전라남도 광양시
양구사과시래기축제,2024-10-26,2024-10-27,"사과, 시래기 판매 및 홍보, 축제프로그램 운영",(재)양구문화재단,033-482-9612,https://www.ygtour.kr/Home/H30000/H30100/placeDetail?place_no=317&viewType=gallery&viewClass=tour&page=1&pageSize=12&order_column=1&place_class=P012,,2024-05-28,강원특별자치도 양구군
양구곰취축제,2024-05-03,2024-05-06,"곰취판매 및 홍보, 축제프로그램 운영",(재)양구문화재단,033-482-9612,https://www.ygtour.kr/Home/H30000/H30100/placeDetail?place_no=72&viewType=gallery&viewClass=tour&page=1&pageSize=12&order_column=1&place_class=P012,,2024-05-28,강원특별자치도 양구군
괴산대학찰옥수수축제,2022-07-22,2022-07-24,"옥수수체험 관련 온-오프라인 행사, 농특산물 판매 등",충청북도 괴산군청,043-830-3463,,충청북도 괴산군 괴산읍 임꺽정로 75,2022-09-22,충청북도 괴산군
괴산고추축제,2022-08-26,2022-09-04,"고추관련 온-오프 행사, 고추 및 농특산물 판매 등",충청북도 괴산군청,043-830-3462,,충청북도 괴산군 괴산읍 임꺽정로 75,2022-09-22,충청북도 괴산군
괴산김장축제,2022-11-04,2022-11-06,괴산절임배추 활용 김장체험 및 농특산물 판매 등,충청북도 괴산군청,043-830-3464,,충청북도 괴산군 괴산읍 임꺽정로 75,2022-09-22,충청북도 괴산군
감물감자축제,2022-06-17,2022-06-18,농특산물(감자) 홍보 및 지역홍보,충청북도 괴산군청,043-830-2432,,충청북도 괴산군 감물면 충민로신대길 13,2022-09-22,충청북도 괴산군
괴산사랑축제,2022-08-01,2022-08-11,주민화합,충청북도 괴산군청,043-830-2403,,충청북도 괴산군 괴산읍 읍내로15길 8-8,2022-09-22,충청북도 괴산군
목도 백중놀이 축제,2022-08-12,2022-08-12,목도 백중놀이 문화 체험 및 지역홍보,충청북도 괴산군청,043-830-2621,,충청북도 괴산군 불정면 목도로2길 11,2022-09-22,충청북도 괴산군
文美貪,2022-02-27,2022-03-08,가장 먼저 시들지 않는 꽃으로 봄을 알려 마음의 봄 향기를 넣어줄 전시,춘천미술관,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10209&search_type=1&search_keyword=E69687.E7BE8E.E8B2AA,강원도 춘천시 서부대성로 71,2023-01-12,강원도 춘천시
Your Body,2022-02-24,2022-02-26,전쟁으로 인한 트라우마를 가진 몸의 자우와 평화를 찾는 전쟁연작,극단노뜰,033-732-0827,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10202&search_type=1&search_keyword=Your+Body,강원도 원주시 문막읍 비야동길 11,2023-01-12,강원도 춘천시
마임프린지,2022-03-03,2022-03-05,신진예술가들의 자유로운 창작 공연,춘천마임축제,033-244-7556,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7624&search_type=1&search_keyword=EBA788EC9E84ED9484EBA6B0ECA780,강원도 춘천시 춘천로 112,2023-01-12,강원도 춘천시
도봉산 산사축제,2015-10-02,2015-10-03,"산사음악회, 영산재, 사찰음식전 등",서울특별시 도봉구청,02-905-4026,,서울특별시 도봉구,2018-05-01,서울특별시 도봉구
도봉구민 건강축제,2015-10-16,2015-10-17,"도봉구민 걷기대회, 장애체험, 가상음주체험, 유방암검진, 신장초음파 검사, 건강관련 패널전시, 건강강좌 등",서울특별시 도봉구청,02-2091-4422,,서울특별시 도봉구 마들로 656,2018-05-01,서울특별시 도봉구
둔내고랭지토마토축제,2023-08-12,2023-08-14,토마토풀장+향토음식체험 등,강원특별자치도 횡성군 둔내면행정복지센터,033-340-2774,,강원특별자치도 횡성군 둔내면 경강로 4708,2023-08-30,강원특별자치도 횡성군
횡성더덕축제,2023-09-15,2023-09-17,더덕캐기체험+더덕품평회 등,강원특별자치도 횡성군 청일면행정복지센터,033-340-2832,,강원특별자치도 횡성군 청일면 유동로 17,2023-08-30,강원특별자치도 횡성군
안흥찐빵축제,2023-10-13,2023-10-15,안흥찐빵 시식 및 홍보+농경문화 체험+먹거리장터운영 등,강원특별자치도 횡성군 안흥면행정복지센터,033-340-2742,,강원특별자치도 횡성군 안흥면 주천강로 1868,2023-08-30,강원특별자치도 횡성군
횡성한우축제,2023-10-06,2023-10-10,한우구이터+횡성한우 발전포럼+횡성빛축제 등,강원특별자치도 횡성군청,033-340-5712,http://www.happyhanwoofestival.com/,강원특별자치도 횡성군 횡성읍 문화체육로 57,2023-08-30,강원특별자치도 횡성군
횡성호수길축제,2023-05-05,2023-05-07,"호수길 걷기대회, 어린이 그림그리기대회, 스탬프 투어 등",강원특별자치도횡성군공근면행정복지센터,033-340-2803,,강원특별자치도 횡성군 횡성읍 갑천면 구방5길40,2023-08-30,강원특별자치도 횡성군
횡성회다지소리축제,2023-04-28,2023-04-30,회다지 인형극+원형공개+공연,횡성회다지소리전승보존회,033-343-3176,,강원특별자치도 횡성군 우천면 정포로 37,2023-08-30,강원특별자치도 횡성군
전국요트대회,2024-05-04,2024-05-05,2개종목 12개부(옵티미스트 10+토파즈 2),한국옵티미스트협회,061-852-3258,,전라남도 보성군 회천면 우암길 24,2024-04-16,전라남도 보성군
보성데일리콘서트 및 드론라이트쇼,2024-05-04,2024-05-06,연령별·장르별 데일리콘서트 및 드론라이트쇼,전라남도 보성군,061-850-5213,,전라남도 보성군 보성읍 현충로 92-20,2024-04-16,전라남도 보성군
양천구 해우리문화축제 <바람난 양천>,2022-10-07,2022-10-24,각종 문화체험활동+시가 함께하는 콘서트+댄싱페스티벌,서울특별시 양천구청,02-2021-8906,http://www.yfac.kr,서울특별시 양천구 목동서로 367 (신정동),2024-03-20,서울특별시 양천구
제1회 신정7동 갈산- 호돌이 축제,2022-10-08,2022-10-08,자치회관프로그램발표+먹거리부스+체험부스+문화공연+플리마켓,서울특별시 양천구 신정7동주민센터,02-2620-4305,https://www.yangcheon.go.kr/dong/sinjeong07/main.do,서울특별시 양천구 목동동로 50,2024-03-20,서울특별시 양천구
2024 금정산성축제,2024-05-24,2024-05-26,개막식+주제공연+전시·체험마당+연계행사 등,부산광역시 금정구청,051-519-4062,,,2024-05-16,부산광역시 금정구
도봉 과학축전,2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,02-2091-2316,http://science.dobong.go.kr,서울특별시 도봉구 마들로 656,2018-05-01,서울특별시 도봉구
도봉구 등축제,2015-09-11,2015-09-30,"둘리와 친구들과 어우러지는 범선, 동물친구들 등과 추석을 앞두고 있어 전통춤 시리즈로 구성하여 등 전시",서울특별시 도봉구청,02-2091-2254,,서울특별시 도봉구,2018-05-01,서울특별시 도봉구
순창장류축제,2022-10-14,2022-10-16,문화공연+장류체험+전시+판매+주민참여 프로그램 등,순창장류축제추진위원회,063-652-9301,http://www.jangfestival.co.kr,전라북도 순창군 순창읍 민속마을길 6-3,2022-06-15,전라북도 순창군
(코로나로 일정 미정)해미벚꽃축제,2021-04-13,2021-04-14,벚꽃축제 및 공연,해미벚꽃축제추진위원회,041-660-3844,https://www.seosan.go.kr/tour/index.do,,2022-11-05,충청남도 서산시
(코로나로 일정 미정)지곡 왕산포 서산갯마을축제,2021-06-08,2019-06-09,갯벌 바지락 캐기 체험 및 공연,지곡왕산포서산갯마을축제추진위원회,041-660-2069,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 지곡면 어름들2길 66,2022-11-05,충청남도 서산시
류방택 별축제,2022-11-05,2022-11-05,천문과학 관련 체험,(사)금헌류방택기념사업회,041-661-8009,https://www.seosan.go.kr/tour/index.do,충청남도 서산시 인지면 무학로 1353-4,2022-11-05,충청남도 서산시
연극 통일 익스프레스,2020-02-29,2020-02-29,연극 통일 익스프레스,한국문화예술위원회,033-251-9363,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7532&search_type=1&search_keyword=ED86B5EC9DBC+EC9DB5EC8AA4ED9484EBA088EC8AA4,강원도 춘천시 춘천로 112,2023-01-12,강원도 춘천시
창작뮤지컬 흰 사과나무,2020-01-18,2020-01-18,창작뮤지컬 흰 사과나무,신북문화예술공동체,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7527&search_type=1&search_keyword=ED9DB0+EC82ACEAB3BCEB8298EBACB4,강원도 춘천시 한림대학길 1,2023-01-12,강원도 춘천시
춘천아트페스티벌,2020-08-14,2020-08-23,춘천의 순수 공연에술 축제,강원도 춘천시청+사단법인 텐스푼,033-251-0545,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7575&search_type=1&search_keyword=ECB698ECB29CEC9584ED8AB8ED8E98EC8AA4ED8BB0EBB28C,강원도 춘천시 춘천로281번길 15 A동 503호,2023-01-12,강원도 춘천시
2020춘천조각공공미술심포지엄,2020-10-05,2020-10-25,2020춘천조각(공공미술)심포지엄,춘천조각심포지엄 조직위원회,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7573,강원도 춘천시 소양로 77,2023-01-12,강원도 춘천시
슬기로운 협동생활,2020-07-04,2020-07-04,슬기로운 협동생활,강원도 춘천시청,033-910-0201,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7566&search_type=1&search_keyword=EC8AACEAB8B0EBA19CEC9AB4+ED9891EB8F99EC839DED999C,강원도 춘천시 공지로 255,2023-01-12,강원도 춘천시
강원문화재단요선시장 코로나땡 동그랑땡,2020-09-21,2020-09-24,강원문화재단 요선시장 코로나땡 동그랑땡,강원문화재단,033-240-1347,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7586&search_type=1&search_keyword=EAB095EC9B90EBACB8ED9994EC9EACEB8BA85DEC9A94EC84A0EC8B9CEC9EA5+ECBD94EBA19CEB8298EB95A1+EB8F99EAB7B8EB9E91EB95A1,강원도 춘천시 금강로 11 KT춘천지사 2층,2023-01-12,강원도 춘천시
제5회 인제가을꽃축제,2023-09-22,2023-10-22,가을꽃축제,인제군문화재단,1577-8924,https://www.inje.go.kr,,2023-05-18,강원특별자치도 인제군
치악산왕발걸음축제,2023-09-09,2023-09-09,걷기행사+작은음악회 등,치악산왕발걸음축제추진위원회,033-734-5966,,강원도 원주시 소초면 평장동길 86-16,2023-05-17,강원특별자치도 원주시
제25회 원주한지문화제,2023-05-05,2023-05-14,기획전시+온라인체험 등,한지개발원,033-734-4739,www.hanjipark.com,강원도 원주시 한지공원길 151,2023-05-17,강원특별자치도 원주시
제16회 용수골꽃양귀비축제,2023-05-23,2023-06-11,꽃밭관람+포토존 이용+기념품 판매 등,용수골꽃양귀비축제추진위원회,033-764-4443,,강원도 원주시 한지공원길 151,2023-05-17,강원특별자치도 원주시
